nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
64,0,342,0.0,0.0,11652.73244,10975.21427,10297.6961,9620.177926,8942.659755,8873.964571,8805.269388,8736.574205,0.0
65,0,343,0.0,0.0,19124.15138,18012.22676,16900.30214,15788.37752,14676.4529,14563.71221,14450.97153,14338.23084,0.0
66,0,344,0.0,0.0,838.5004496,789.7479965,740.9955435,692.2430904,643.4906374,638.5475099,633.6043824,628.6612549,0.0
67,0,345,0.0,0.0,48363.23948,45551.28325,42739.32702,39927.3708,37115.41457,36830.30362,36545.19267,36260.08172,0.0
68,0,346,0.0,0.0,3727.665935,3510.930382,3294.194829,3077.459276,2860.723724,2838.748389,2816.773054,2794.79772,0.0
69,0,347,0.0,0.0,56703.7257,53406.83334,50109.94098,46813.04862,43516.15626,43181.87649,42847.59671,42513.31693,0.0
70,0,348,0.0,0.0,11858.11542,11168.65579,10479.19615,9789.736512,9100.276875,9030.370918,8960.464961,8890.559004,0.0
71,0,349,0.0,0.0,31555.37691,29137.14386,26718.91081,24300.67776,21882.4447,21514.94091,21147.43713,20779.93334,0.0
72,0,350,0.0,0.0,24747.0261,22850.54815,20954.0702,19057.59226,17161.11431,16872.9027,16584.6911,16296.47949,0.0
73,0,351,0.0,0.0,16907.95188,15612.21809,14316.4843,13020.75051,11725.01673,11528.10143,11331.18613,11134.27084,0.0
74,0,352,0.0,0.0,6670.207848,6159.039272,5647.870696,5136.70212,4625.533544,4547.850218,4470.166891,4392.483564,0.0
