pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
273,MFH_SUB_0_DHW_BO,12,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
274,MFH_SUB_1_DHW_BO,13,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
275,MFH_SUB_2_DHW_BO,14,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
276,MFH_SUB_3_DHW_BO,15,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
277,MFH_URB_0_DHW_BO,16,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
278,MFH_URB_1_DHW_BO,17,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
279,MFH_URB_2_DHW_BO,18,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,MFH_URB_3_DHW_BO,19,16,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
281,SFH_RUR_0_DHW_BO,23,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
282,SFH_RUR_1_DHW_BO,24,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
283,SFH_RUR_2_DHW_BO,25,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284,SFH_RUR_3_DHW_BO,26,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,SFH_SUB_0_DHW_BO,27,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,SFH_SUB_1_DHW_BO,28,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
287,SFH_SUB_2_DHW_BO,29,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
288,SFH_SUB_3_DHW_BO,30,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
289,SFH_URB_0_DHW_BO,31,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,SFH_URB_1_DHW_BO,32,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,SFH_URB_2_DHW_BO,33,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,SFH_URB_3_DHW_BO,34,16,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
293,MFH_RUR_0_DHW_STO,8,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
294,MFH_RUR_1_DHW_STO,9,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
295,MFH_RUR_2_DHW_STO,10,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
296,MFH_RUR_3_DHW_STO,11,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
297,MFH_SUB_0_DHW_STO,12,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
298,MFH_SUB_1_DHW_STO,13,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
299,MFH_SUB_2_DHW_STO,14,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
300,MFH_SUB_3_DHW_STO,15,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301,MFH_URB_0_DHW_STO,16,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
302,MFH_URB_1_DHW_STO,17,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
303,MFH_URB_2_DHW_STO,18,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
304,MFH_URB_3_DHW_STO,19,28,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
305,SFH_RUR_0_DHW_STO,23,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
306,SFH_RUR_1_DHW_STO,24,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
307,SFH_RUR_2_DHW_STO,25,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
308,SFH_RUR_3_DHW_STO,26,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
309,SFH_SUB_0_DHW_STO,27,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310,SFH_SUB_1_DHW_STO,28,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,SFH_SUB_2_DHW_STO,29,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
312,SFH_SUB_3_DHW_STO,30,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
313,SFH_URB_0_DHW_STO,31,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
314,SFH_URB_1_DHW_STO,32,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
315,SFH_URB_2_DHW_STO,33,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
316,SFH_URB_3_DHW_STO,34,28,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
317,MFH_RUR_HT_0_DHW_AW,35,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
318,MFH_RUR_HT_1_DHW_AW,36,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
319,MFH_RUR_HT_2_DHW_AW,37,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,MFH_RUR_HT_3_DHW_AW,38,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
321,MFH_SUB_HT_0_DHW_AW,39,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
322,MFH_SUB_HT_1_DHW_AW,40,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323,MFH_SUB_HT_2_DHW_AW,41,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324,MFH_SUB_HT_3_DHW_AW,42,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
325,MFH_URB_HT_0_DHW_AW,43,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
326,MFH_URB_HT_1_DHW_AW,44,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
327,MFH_URB_HT_2_DHW_AW,45,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
328,MFH_URB_HT_3_DHW_AW,46,16,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
329,SFH_RUR_HT_0_DHW_AW,47,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
330,SFH_RUR_HT_1_DHW_AW,48,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
331,SFH_RUR_HT_2_DHW_AW,49,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
332,SFH_RUR_HT_3_DHW_AW,50,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333,SFH_SUB_HT_0_DHW_AW,51,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
334,SFH_SUB_HT_1_DHW_AW,52,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
335,SFH_SUB_HT_2_DHW_AW,53,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
336,SFH_SUB_HT_3_DHW_AW,54,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
337,SFH_URB_HT_0_DHW_AW,55,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
338,SFH_URB_HT_1_DHW_AW,56,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339,SFH_URB_HT_2_DHW_AW,57,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
340,SFH_URB_HT_3_DHW_AW,58,16,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
